iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC,n_labeled_users
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,DecisionTree,desc+numeric,62,True,0.91,0.9264887640449438,0.91,0.9171112865035518,0.7812364307425098,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,DecisionTree,desc+numeric,62,False,0.89,0.8906451612903226,0.89,0.8892972972972975,0.59905557967868,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,RandomForest,desc+numeric,62,True,0.93,0.9030927835051547,0.93,0.9125925925925925,0.7643424337820234,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,RandomForest,desc+numeric,62,False,0.92,0.8464,0.92,0.8816666666666667,0.7778907946157186,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,SVM,desc+numeric,62,True,0.81,0.8809419496166485,0.81,0.8412907563025211,0.8206795484151105,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,SVM,desc+numeric,62,False,0.94,0.9170833333333333,0.94,0.9266382978723403,0.7711159357359965,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,AdaBoost,desc+numeric,62,True,0.91,0.9275604395604395,0.91,0.9183904619970192,0.6865675206252714,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,AdaBoost,desc+numeric,62,False,0.94,0.9320833333333333,0.94,0.9306382978723404,0.5393250651324359,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,XGBoost,desc+numeric,62,True,0.9,0.9212765957446808,0.9,0.9005376344086022,0.8016600629613548,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,XGBoost,desc+numeric,62,False,0.92,0.9142857142857143,0.92,0.8984060150375939,0.6946303734259661,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,LogReg,desc+numeric+iran,82,True,0.91,0.9275604395604395,0.91,0.9183904619970192,0.7871216891011724,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,LogReg,desc+numeric+iran,82,False,0.94,0.9170833333333333,0.94,0.9266382978723403,0.7820060790273555,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,DecisionTree,desc+numeric+iran,82,True,0.88,0.8988888888888888,0.88,0.8893406593406594,0.6511343899261831,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,DecisionTree,desc+numeric+iran,82,False,0.92,0.9296703296703296,0.92,0.9248087431693989,0.78655557967868,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,RandomForest,desc+numeric+iran,82,True,0.95,0.9292631578947368,0.95,0.9390374331550803,0.8256781914893616,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,RandomForest,desc+numeric+iran,82,False,0.94,0.9236734693877551,0.94,0.9209473684210526,0.8379423577941815,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,SVM,desc+numeric+iran,82,True,0.9,0.9271111111111111,0.9,0.913086913086913,0.7325179114198871,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,SVM,desc+numeric+iran,82,False,0.95,0.9292631578947368,0.95,0.9390374331550803,0.7173523664785063,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,AdaBoost,desc+numeric+iran,82,True,0.9,0.915,0.9,0.9059999999999999,0.527352637863656,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,AdaBoost,desc+numeric+iran,82,False,0.94,0.9320833333333333,0.94,0.9306382978723404,0.6906928462874511,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,XGBoost,desc+numeric+iran,82,True,0.92,0.916063829787234,0.92,0.9164301075268817,0.8214823056882328,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,XGBoost,desc+numeric+iran,82,False,0.92,0.8925,0.92,0.9048510638297873,0.8640539513677811,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,LogReg,numeric,11,True,0.625,0.5357142857142857,0.625,0.576923076923077,0.4166666666666667,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,LogReg,numeric,11,False,0.625,0.5357142857142857,0.625,0.576923076923077,0.4166666666666667,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,DecisionTree,numeric,11,True,0.75,0.5625,0.75,0.6428571428571428,0.5,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,DecisionTree,numeric,11,False,0.75,0.5625,0.75,0.6428571428571428,0.5,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,RandomForest,numeric,11,True,0.625,0.5357142857142857,0.625,0.576923076923077,0.7916666666666667,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,RandomForest,numeric,11,False,0.75,0.5625,0.75,0.6428571428571428,0.6666666666666666,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,SVM,numeric,11,True,0.625,0.5357142857142857,0.625,0.576923076923077,0.08333333333333333,100
