username,display_name,followers_count,following_count,statuses_count,followers_following_ratio,bio_length,account_age_years,verified_flag,network_degree,bio_mentions_iran,cluster
aahonarmand,Aliasghar Honarmand | علی اصغر هنرمند,0.0,288.0,4047.0,0.0,127,13.533196440793978,0,1,0,3
aaihs,AAIHS,0.0,108.0,6145.0,0.0,152,12.205338809034908,0,1,0,3
aajavoices,AAJA Voices,1904.0,583.0,2743.0,3.26027397260274,141,17.037645448323065,0,1,0,5
aaknopf,Alfred A. Knopf,0.0,3115.0,6157.0,0.0,72,17.61806981519507,0,1,0,3
aalabadi78525,Abood Alabadi,0.0,5.0,3.0,0.0,0,2.0369609856262834,0,1,0,0
aalbahrayn5356,زعيم اسيا عشق سنين الطفولة,134.0,1392.0,444.0,0.09619526202440776,32,3.2881587953456535,0,1,0,5
aalejandrabm,Alejandra Bonilla Mena,126.0,560.0,16.0,0.22459893048128343,121,14.702258726899384,0,1,0,5
aaljamel13216,Alzamn aljamel,27.0,1200.0,0.0,0.022481265611990008,0,1.1197809719370295,0,1,0,0
aalmalki_10,A,4.0,91.0,36.0,0.043478260869565216,20,2.702258726899384,0,1,0,0
aam653073,Amit Mishra,2.0,2113.0,4.0,0.000946073793755913,0,1.3716632443531827,0,1,0,0
aami_r1385,۵ مارس ۲۰۰۷,0.0,8.0,2.0,0.0,0,3.868583162217659,0,1,0,0
aanahelll,Atefeh,62.0,93.0,107.0,0.6595744680851063,0,3.701574264202601,0,1,0,0
aanandlrai,Aanand L Rai,0.0,3.0,6281.0,0.0,16,16.700889801505816,0,1,0,3
aarabisaeid,Saeid Aarabi,0.0,25.0,66.0,0.0,0,1.0376454483230664,0,1,0,0
aaravtyagi_x,Aarav Tyagi,0.0,17.0,0.0,0.0,154,1.0376454483230664,0,1,0,3
aardavann,Ardavan Jafarian,161.0,123.0,377.0,1.2983870967741935,84,14.45037645448323,0,1,0,5
aarnapatel68,Aarna Patel 🦋,465.0,7165.0,35.0,0.06488975718671504,160,1.1197809719370295,0,1,0,5
aaronjmate,Aaron Maté,0.0,4004.0,6157.0,0.0,124,16.12046543463381,0,1,0,3
